artist_name,artist_id,artist_popularity,artist_n_followers,genre
Clean Bandit,6MDME20pz9RveH9rEXvrOM,74,5372036,pop
Cody Carnes,7apN8bBgl19E0Ona9pvPq0,63,215069,ccm
Cody Johnson,6zLBxLdl60ekBLpawtT63I,75,1215340,contemporary country
Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,68,2473479,pop
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,88,49843384,pop
Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,65,2268909,contemporary country
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,81,9479471,pop
Conjunto Primavera,3nFB4eMP5gdqee2eQb8nZb,72,2831050,musica mexicana
Connor Price,5zixe6AbgXPqt4c1uSl94L,75,1270128,singer-songwriter pop
Cordae,0huGjMyP507tBCARyzSkrv,66,2002618,rap
Corey Kent,3sUpZrkehiGBaMzs2h9Mmc,63,148260,modern country pop
Cory Asbury,2gXmjQIxCO8lMnSncluZaU,63,581880,ccm
Cosculluela,00me4Ke1LsvMxt5kydlMyU,73,5898631,urbano latino
Counting Crows,0vEsuISMWAKNctLlUAhSZC,68,1736217,rock
Creed,43sZBwHjahUvgbx1WNIkIz,70,3238686,alternative metal
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,81,6449598,rock
Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,84,2207369,urbano latino
Crowder,39xmI59WrIMyyJjSDq6WCu,61,431703,ccm
Cults,3Oim8XBPbznAa8Jj8QzNc8,70,860119,pov: indie
Current Joys,0m5FakHKCQdA7UN0PIzMcL,69,1221227,pov: indie
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,73,2627953,dance pop
Código FN,4A4qYy2jK9DDN1OHV0nLkH,70,1063044,musica mexicana
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,75,11163226,rap
DJ Luian,64aJYyrXljOodnUG6jvhRD,76,2143607,urbano latino
DJ Nelson,2ydZrTy8U3kOMOzx20s3dg,72,1147455,urbano latino
DJ Snake,540vIaP2JwjQb9dm3aArA4,78,8532540,pop
DMX,1HwM5zlC5qNWhJtM00yXzG,71,4973742,rap
DaBaby,4r63FhuTkUYltbVAg5TQnk,79,11826195,rap
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,86,33444721,urbano latino
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,81,9782033,rock
Dalex,0KPX4Ucy9dk82uj4GpKesn,79,4830187,urbano latino
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,71,3131272,contemporary country
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,76,5346746,urbano latino
Darell,1TtXnWcUs0FCkaZDPGYHdf,77,4332155,urbano latino
Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,67,2529352,contemporary country
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,76,2360445,rock
Daughtry,5P5FTygHyx2G57oszR3Wot,65,2129799,alternative metal
Daveed Diggs,3twuAojvYNrlWZpMkxLm3P,71,107435,show tunes
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,77,10281170,rock
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,88,25370438,pop
David Kushner,33NVpKoXjItPwUJTMZIOiY,77,2090626,singer-songwriter pop
Daya,6Dd3NScHWwnW6obMFbl1BH,69,1569829,pop
De La Ghetto,3EiLUeyEcA6fbRPSHkG5kb,78,7114540,urbano latino
DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF,68,1732818,trap
Dean Lewis,3QSQFmccmX81fWCUSPTS7y,76,3083227,pop
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,63,1501167,modern rock
Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,69,990467,pov: indie
Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,70,4843932,rock
Deftones,6Ghvu1VvMGScGpOUJBAHNH,79,5262047,rock
Dei V,2YRyPiW98bpkARAS4B3OQP,81,676909,urbano latino
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,77,26251958,pop
Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,69,2495201,rap
Depeche Mode,762310PdDnwsDxAQxzQkfX,74,6187667,rock
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,72,7043862,pop
Diddy,59wfkuBoNyhDMQGCljbUbA,72,1645408,rap
Dido,2mpeljBig2IXLXRAFO9AAs,75,1763735,dance pop
Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,68,3049648,contemporary country
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,74,3404643,pop dance
Diplo,5fMUXHkw8R8eOP2RNVYEZX,77,2579414,dance pop
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,76,7359997,rock
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,76,6504334,rock
Djo,5p9HO3XC5P3BLxJs5Mtrhm,82,1219315,pov: indie
Doechii,4E2rKHVDssGJm2SCDOMMJB,68,448965,alternative r&b
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,87,29402796,pop
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,77,1620478,pov: indie
Don Omar,33ScadVnbm2X8kkUqOkC6Z,83,11143817,urbano latino
Don Toliver,4Gso3d4CscCijv0lmajZWs,83,4106133,rap
Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,71,4850145,pop
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,79,11464187,rap
Drake,3TVXtAsR1Inumwj472S9r4,96,86436237,rap
Dreamville,1iNqsUDUraNWrj00bqssQG,67,653023,rap
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,89,43040917,pop
Duelo,0nnp7oJpY2J6yZOqtdKaWq,70,1827094,musica mexicana
Duki,1bAftSH8umNcGZ0uyV7LMg,82,10308085,urbano latino
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,69,2933911,rock
Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,66,2337688,contemporary country
Dylan Gossett,4H4M0Y4cN39zIVDHvdW53x,69,209869,modern country pop
Dylan Scott,78YqeIji3mgAS2K1Maca6x,71,1628626,contemporary country
Dímelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,76,429001,urbano latino
EARTHGANG,5MbNzCW3qokGyoo9giHA3V,63,841744,rap
ERNEST,4GGfAshSkqoxpZdoaHm7ky,69,140621,modern country pop
Eagles,0ECwFtbIWEVNwjlrfc6xoL,75,10458390,rock
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,69,2199354,rap
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,74,4194167,soul
Eazy-E,7B4hKK0S9QYnaoqa9OuwgX,65,5773637,rap
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,87,113743502,pop
Eden Muñoz,1gJdf4Yybu4X5A2xYV3NMV,76,1515371,musica mexicana
Edgardo Nuñez,0mA4dkNGiN4fqTBi2SLlAv,76,1706901,corrido
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,79,3346425,urbano latino
El Fantasma,0my6Pg4I28dVcZLSpAkqhv,73,6081100,musica mexicana
El Komander,2wC90WSKQd0BvdxJZ0mObr,71,3815697,musica mexicana
El Makabelico,0rJ0xlAQI0wLRucDRoQQbO,70,2587091,corrido
Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,83,6512232,urbano latino
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,71,3977734,rock
Elevation Worship,3YCKuqpv9nCsIhJ2v8SMix,75,3213905,ccm
Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,73,1602457,dance pop
Ella Mai,7HkdQ0gt53LP4zmHsL0nap,68,5420596,rap
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,79,12304178,pop
Elton John,3PhoLpVuITZKcymswpck5b,83,13060620,rock
Eminem,7dGJo4pcD2V6oG8kP0tJRR,90,82915305,rap
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,79,10842282,dance pop
Eric Church,2IvkS5MXK0vPGnwyJsrEyV,73,3797914,contemporary country
Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,71,5735021,rock
Erykah Badu,7IfculRW2WXyzNQ8djX8WX,68,2851869,r&b
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,78,5386610,corrido
Estelle,5T0MSzX9RC5NA6gAI6irSn,66,285367,r&b
Etta James,0iOVhN3tnSvgDbcg25JoJb,70,1638506,soul
Evanescence,5nGIFgo0shDenQYSE0Sn7c,73,4348767,alternative metal
Eve,4d3yvTptO48nOYTPBcPFZC,68,1357468,dance pop
Eyedress,3XxNRirzbjfLdDli06zMaB,76,1840407,pov: indie
FINNEAS,37M5pPGs6V1fchFJSgCguX,67,1934879,pop
FLETCHER,5qa31A9HySw3T7MKWI9bGg,70,891752,pop
Fabolous,0YWxKQj2Go9CGHCp77UOyy,65,2632018,rap
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,80,10499632,pop
Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz,71,3035432,alternative metal
Farruko,329e4yvIujISKGKz1BZZbO,82,15506803,urbano latino
Fat Joe,3ScY9CQxNLQei8Umvpx5g6,67,1759809,rap
Faye Webster,5szilpXHcwOqnyKLqGco5j,72,1144104,indie pop
Feid,2LRoIwlKmHjgvigdNGBHNo,91,10657226,urbano latino
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,74,1271519,pop dance
Fergie,3r17AfJCCUqC9Lf0OAc73G,69,5651144,pop
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,71,4568535,rap
Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,69,900291,pov: indie
Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,74,6271070,alternative metal
Fivio Foreign,14CHVeJGrR5xgUGQFV5BVM,69,1288749,trap
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,81,11247563,rock
Flo Rida,0jnsk9HBra6NMjO2oANoPY,80,8424551,pop
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,76,6585394,modern rock
Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,74,5356512,contemporary country
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,78,11582067,rock
Foreigner,6IRouO5mvvfcyxtPDKMYFN,69,3103083,rock
Foster The People,7gP3bB2nilZXLfPHJhMdvc,72,3721642,rock
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,65,1258039,rap
French Montana,6vXTefBL93Dj5IqAWq6OTv,76,5359323,rap
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,89,8209100,corrido
Future,1RyvyyTE3xzB2ZywiAwp0i,94,16571399,rap
G Herbo,5QdEbQJ3ylBnc3gsIASAT5,69,2067768,trap
G-Eazy,02kJSzxNuaWGqwubyUba0Z,78,5237779,rap
GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,65,1162130,pov: indie
Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,63,334145,contemporary country
Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,83,2396979,corrido
Galantis,4sTQVOfp9vEMCemLw50sbu,72,3329085,pop
Gavin Adcock,5jG6uRqinuI83luutMpW6y,65,98337,modern country pop
George Harrison,7FIoB5PHdrMZVC3q2HE5MS,67,2629491,rock
George Strait,5vngPClqofybhPERIqQMYd,73,4210662,contemporary country
Gerardo Ortiz,4J13m9IZh03PEhoxAxRhXO,73,7521082,musica mexicana
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,76,3687636,r&b
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,76,4067900,pov: indie
Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,68,3172016,alternative metal
GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,65,884879,alternative r&b
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,79,11420503,rock
Green Day,7oPftvlwr6VrsViSDV7fJY,80,14705183,rock
Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,67,2553712,rock
Grupo Bryndis,44WCHvwXBOMz6nm7Mu2ReO,72,2322432,musica mexicana
Grupo Firme,1dKdetem2xEmjgvyymzytS,80,12326169,musica mexicana
