artist_name,artist_id,artist_popularity,artist_n_followers,artist_genres
Bootsy Collins,5K0rbdBrs2tNXe5LeWMATT,66,393308,"['funk', 'p funk', 'soul']"
Boston,29kkCKKGXheHuoO829FxWK,67,2685194,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
BoyWithUke,1Cd373x8qzC7SNUg5IToqp,73,4080919,['sad rap']
Brad Paisley,13YmWQJFwgZrd4bf5IjMY4,65,2738197,"['contemporary country', 'country', 'country road']"
Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,65,808145,"['acoustic pop', 'ectofolk', 'folk', 'indie folk', 'lilith', 'modern folk rock', 'new americana']"
Brandon Lake,1bdnGJxkbIIys5Jhk1T74v,71,513425,"['ccm', 'worship']"
Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,65,2932925,"['contemporary country', 'country', 'country road', 'modern country rock']"
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,71,4526641,"['alternative metal', 'nu metal', 'post-grunge']"
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,84,5744285,"['r&b', 'rap']"
Brett Young,0fiWOxhsBsQQvFDtxUQWo0,66,1096013,"['contemporary country', 'country', 'country road', 'modern country rock']"
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,78,5424142,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']"
Britney Spears,26dSoYclwsYLMAKD3tpOr4,81,14165516,"['dance pop', 'pop']"
Bronco,0VKh7CQDi9MkUvaBMoK1V0,74,3453349,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno', 'ranchera']"
Brooke Ligertwood,7iETGaxJ4crz3qaljDPCKC,67,106733,"['ccm', 'world worship', 'worship']"
Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,70,2823971,"['contemporary country', 'country', 'country road']"
Brothers Osborne,39NR3AUhpbbqKM33vWn2fp,63,1235406,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']"
Brray,1GKIlPFdcewHtpDVCQ8zmJ,75,376717,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,76,6163241,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,89,54410082,"['dance pop', 'pop']"
Bryan Adams,3Z02hBLubJxuFJfhacLSDc,75,3523300,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
Bryan Martin,0ChjBYedhZTQnWZWQYg15U,70,146071,['modern country pop']
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,81,10650788,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,62,502955,['indie pop rap']
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,84,8227706,"['kentucky hip hop', 'r&b', 'rap']"
Brytiago,00XhexlJEXQstHimpZN910,74,6715840,"['reggaeton', 'trap latino', 'urbano latino']"
Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,67,2938860,"['alternative metal', 'nu metal', 'post-grunge', 'uk metalcore', 'welsh metal']"
Burna Boy,3wcj11K77LjEY1PkEazffa,79,8586269,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,71,2682734,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
BØRNS,1KP6TWI40m7p3QBTU6u2xo,67,1251324,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pov: indie']"
C-Kan,1QhaqxeqF9sipS2gwbEKpu,71,2837906,"['latin hip hop', 'mexican hip hop', 'rap conciencia', 'trap mexicano']"
C418,4uFZsG1vXrPcvnZ4iSQyrx,72,870178,"['pixel', 'video game music']"
CG5,3YJDqtTSjydvUpTvU1fJ6O,66,1588982,"['otacore', 'pixel', 'rhythm game']"
Caamp,0wyMPXGfOuQzNR54ujR9Ix,69,580545,"['indie folk', 'stomp and holler']"
Cafuné,581C5Qwl87TskfBEzuoisu,68,269173,"['brooklyn indie', 'sped up']"
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,75,3640832,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']"
Calibre 50,4jogXSSvlyMkODGSZ2wc2P,74,10926215,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
Calle 24,6dLuQ5qXxIuWc5urxfIiZR,77,894443,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,75,5536138,['pop']
Calvin Harris,7CajNmpbOovFoOoasH2HaY,86,22518274,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Cam'ron,7iMvwE8qANp3aIfAGKEAwS,64,711927,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']"
Camila,2gRP1Ezbtj3qrERnd0XasU,72,4370089,"['latin arena pop', 'latin pop']"
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,81,32667769,"['dance pop', 'pop']"
Camilo,28gNT5KBp7IjEOQoevXf9N,79,18755363,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']"
Canserbero,1wGIhYkKWSq4yACtTkCkSX,75,10437346,"['boom bap espanol', 'rap conciencia', 'rap politico', 'trap latino', 'venezuelan hip hop']"
Cardenales De Nuevo León,0GpuSge5ffZ053NhXxgQkV,73,2147248,"['banda', 'musica mexicana', 'norteno']"
Cardi B,4kYSro6naA4h99UJvo89HB,81,23558568,"['pop', 'rap']"
Carin Leon,66ihevNkSYNzRAl44dx6jJ,86,10994351,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']"
Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,72,4132429,"['cantautora mexicana', 'mexican pop']"
Carlos Vives,4vhNDa5ycK0ST968ek7kRr,73,5990829,"['colombian pop', 'latin pop', 'vallenato']"
Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,65,414005,"['contemporary country', 'country', 'country road']"
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,72,4861688,"['canadian pop', 'dance pop', 'pop']"
