artist_name,artist_id,genre,artist_popularity,artist_n_followers,song_name,song_id,song_duration_min,song_popularity,song_artists,album_name,album_year_release,album_month_release,album_day_release
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",0301nLjG0ti26rx5ZmfqtP,4.17,59,['A Tribe Called Quest'],The Low End Theory,1991,09,24
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Excursions,4tEaytMs86hIaOSsiGoLcP,3.91,57,['A Tribe Called Quest'],The Low End Theory,1991,09,24
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",5oady7OSE7dH7LHiqmb3Cr,3.72,76,['A$AP Ferg'],Floor Seats,2019,08,16
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,Plain Jane,4dVpf9jZjcORqGTLUaeYj9,2.89,74,['A$AP Ferg'],Still Striving,2017,08,18
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,Plain Jane REMIX (feat. Nicki Minaj),2YzmfPLqUx5CJOaw5ThsBV,3.38,70,['A$AP Ferg'],Plain Jane REMIX (feat. Nicki Minaj),2017,12,15
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,SILVER TOOTH. (with A$AP Ferg),5Xb9LkVG98JiLorzV9O56r,2.38,62,['Armani White'],Road to CASABLANCO.,2023,05,05
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,New Level (feat. Future),25rc1PFgPvtV6GFSloyOI0,4.42,56,['A$AP Ferg'],ALWAYS STRIVE AND PROSPER,2016,06,22
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,Shabba (feat. A$AP Rocky),7eaKWfov7b2Qa2n6HTesL3,4.6,62,['A$AP Ferg'],Trap Lord,2013,08,19
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,WAM,7f2HHmhlbdkW5f9Ge26qny,2.63,60,['A$AP Ferg'],Floor Seats,2019,08,16
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,70,3727102,Floor Seats,6AomCkEOQUODCYzQwH4SWC,2.63,59,['A$AP Ferg'],Floor Seats,2019,08,16
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,rap,83,13770827,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),3ZaEs1O8BG581qYPHpQ8d6,3.17,84,"['A$AP Rocky', 'Imogen Heap', 'Clams Casino']",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),2023,08,18
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,rap,83,13770827,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,3.42,84,['A$AP Rocky'],TESTING,2018,05,25
